name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Shay Ciezki,Indiana,349,10,243,40,31,2,14,23,369,36.9
Grace Sullivan,Northwestern,313,9,219,82,12,10,14,0,361,40.111111111111114
Katie Fiso,Oregon,315,11,170,24,86,4,12,4,316,28.727272727272727
Saylor Poffenbarger,Maryland,302,11,125,69,32,7,26,23,315,28.636363636363637
Kiyomi McMiller,Penn State,259,8,159,49,47,3,19,5,304,38.0
Mia Jacobs,Oregon,295,11,155,58,18,4,21,19,300,27.272727272727273
Kiki Rice,UCLA,298,10,145,71,36,8,11,8,298,29.8
Gracie Merkle,Penn State,211,8,184,67,17,11,2,0,294,36.75
Jazzy Davidson,USC,251,8,128,51,34,19,15,12,293,36.625
Britt Prince,Nebraska,269,9,191,32,37,1,8,14,292,32.44444444444444
Nene Ndiaye,Rutgers,328,10,156,59,17,5,19,11,291,29.1
Oluchi Okananwa,Maryland,278,11,162,54,23,5,17,8,291,26.454545454545453
Ava Heiden,Iowa,219,9,145,83,16,12,11,0,290,32.22222222222222
Olivia Olson,Michigan,228,9,164,54,19,2,18,12,289,32.111111111111114
Lauren Betts,UCLA,270,9,130,70,29,21,6,0,283,31.444444444444443
Gabriela Jaquez,UCLA,310,10,148,63,25,1,10,18,276,27.6
Sayvia Sellers,Washington,221,8,153,25,31,9,14,17,272,34.0
Jaloni Cambridge,Ohio State,227,8,161,44,26,1,16,4,269,33.625
Yarden Garzon,Maryland,316,11,121,43,39,1,17,25,264,24.0
Mila Holloway,Michigan,244,9,121,31,42,3,24,12,260,28.88888888888889
Berry Wallace,Illinois,290,9,160,61,17,1,5,9,259,28.77777777777778
Charlisse Leger-Walker,UCLA,284,10,97,41,63,4,18,12,257,25.7
Gianna Kneepkens,UCLA,286,10,142,35,33,3,8,25,257,25.7
Lenée Beaumont,Indiana,332,10,149,50,31,0,4,15,253,25.3
Kennedy Blair,Michigan State,187,8,101,54,49,3,18,4,250,31.25
Syla Swords,Michigan,258,9,120,47,22,3,16,19,246,27.333333333333332
Grace VanSlooten,Michigan State,193,8,126,42,17,9,21,0,245,30.625
Cearah Parchment,Illinois,219,9,104,75,11,2,19,9,241,26.77777777777778
Zachara Perkins,Rutgers,332,10,118,57,14,9,11,11,240,24.0
Angela Dugalić,UCLA,262,10,105,68,12,8,14,10,239,23.9
Grace Grocholski,Minnesota,271,9,121,43,28,3,7,25,237,26.333333333333332
Kyrah Daniels,Wisconsin,256,9,119,45,23,3,11,19,234,26.0
Imani Lester,Rutgers,235,10,103,62,13,13,13,3,233,23.3
Hannah Stuelke,Iowa,229,9,103,75,19,2,12,2,227,25.22222222222222
Tayla Thomas,Northwestern,233,9,83,92,9,13,6,2,224,24.88888888888889
Gretchen Dolan,Illinois,263,9,123,34,33,2,12,6,224,24.88888888888889
Mara Braun,Minnesota,278,9,98,37,25,9,16,14,224,24.88888888888889
Jessica Petrie,Nebraska,208,9,108,48,16,8,8,9,213,23.666666666666668
Rashunda Jones,Michigan State,205,8,94,18,40,1,27,4,212,26.5
Avery Howell,Washington,230,8,97,55,13,4,10,17,210,26.25
Addi Mack,Maryland,260,10,116,32,29,1,12,7,210,21.0
Ehis Etute,Oregon,178,10,83,76,8,6,15,0,209,20.9
Amaya Battle,Minnesota,259,9,62,74,39,2,12,3,206,22.88888888888889
Caroline Lau,Northwestern,288,9,52,45,85,1,6,9,205,22.77777777777778
Te'Yala Delfosse,Michigan,171,9,103,56,9,8,6,8,204,22.666666666666668
Moriah Murray,Penn State,243,8,100,25,22,2,13,27,204,25.5
Amiah Hargrove,Nebraska,196,9,112,57,8,1,10,5,204,22.666666666666668
Kara Dunn,USC,224,8,98,42,10,4,14,13,199,24.875
Isimenme Ozzy-Momodu,Maryland,180,11,90,52,9,16,8,0,199,18.09090909090909
Kennedy Cambridge,Ohio State,204,8,53,34,28,7,32,5,198,24.75
Kaylah Ivey,Rutgers,351,10,89,30,33,1,14,16,198,19.8
Sofia Bell,Oregon,300,11,80,28,12,9,20,18,196,17.818181818181817
Madison Layden-Zay,Purdue,289,9,79,39,21,4,13,19,192,21.333333333333332
Destiny Howell,Wisconsin,231,9,112,34,9,2,6,19,190,21.11111111111111
Destiny Jackson,Illinois,260,9,71,39,44,1,15,4,190,21.11111111111111
Kennedy Smith,USC,245,8,77,33,29,8,14,6,189,23.625
Tara Daye,Purdue,216,9,95,56,13,0,11,2,188,20.88888888888889
Callin Hake,Nebraska,230,9,72,26,45,1,15,12,187,20.77777777777778
Taylor McCabe,Iowa,245,9,88,39,19,2,3,27,183,20.333333333333332
Taylor Stremlow,Iowa,181,9,66,31,33,7,14,9,181,20.11111111111111
Tori McKinney,Minnesota,163,7,98,18,12,5,18,6,180,25.714285714285715
Kylee Kitts,Ohio State,179,8,75,53,10,14,6,2,180,22.5
Zania Socka-Nguemen,Indiana,190,7,91,63,9,3,5,0,179,25.571428571428573
Kiki Smith,Purdue,238,9,97,21,19,3,10,15,178,19.77777777777778
Chance Gray,Ohio State,219,8,105,27,25,0,3,14,177,22.125
Brylee Glenn,Minnesota,229,9,86,33,21,4,12,4,176,19.555555555555557
Sophie Hart,Minnesota,212,9,98,58,4,3,5,0,176,19.555555555555557
Casey Harter,Northwestern,302,9,87,30,14,10,5,14,175,19.444444444444443
Ari Long,Oregon,229,11,55,39,19,7,20,7,174,15.818181818181818
Brooke Q. Daniels,Michigan,196,9,47,42,34,4,21,0,173,19.22222222222222
Maddie Webber,Illinois,195,9,98,21,16,4,5,14,167,18.555555555555557
Gift Uchenna,Wisconsin,134,9,55,56,4,12,11,0,161,17.88888888888889
Jalyn Brown,Michigan State,168,8,83,30,17,2,11,4,160,20.0
Hila Karsh,Purdue,269,9,87,26,19,1,5,14,158,17.555555555555557
Londynn Jones,USC,180,8,94,13,18,1,8,15,158,19.75
Theryn Hallock,Michigan State,152,7,76,11,22,2,17,10,157,22.428571428571427
Brynn McGaughy,Washington,139,8,81,35,6,14,2,1,155,19.375
Nevaeh Caffey,Indiana,279,10,65,31,23,2,13,5,154,15.4
Tea Cleante,Penn State,213,7,80,17,18,0,13,13,154,22.0
Ronnie Porter,Wisconsin,226,9,52,32,38,0,14,4,154,17.11111111111111
Sarah Rambus,Oregon,180,11,90,32,10,3,7,0,152,13.818181818181818
Lana McCarthy,Purdue,157,9,72,45,12,5,5,0,149,16.555555555555557
Ashley Sofilkanich,Michigan,134,9,74,30,5,11,9,0,149,16.555555555555557
Kaylene Smikle,Maryland,123,7,92,27,11,1,5,7,149,21.285714285714285
Petra Bozan,Nebraska,153,9,81,40,3,1,8,4,146,16.22222222222222
Tate Lash,Northwestern,230,9,70,30,31,1,4,4,145,16.11111111111111
Amina Muhammad,Oregon,174,11,68,39,8,3,12,0,145,13.181818181818182
Antonia Bates,Rutgers,247,10,32,53,21,4,10,4,138,13.8
Ava Watson,Ohio State,153,8,55,18,21,2,17,4,136,17.0
Kylie Feuerbach,Iowa,204,9,46,17,28,5,13,7,134,14.88888888888889
Hailey Weaver,Nebraska,173,9,42,26,12,8,13,6,128,14.222222222222221
Astera Tuhina,Oregon,185,11,50,14,28,2,13,5,127,11.545454545454545
Bryn Martin,Ohio State,131,8,60,14,13,3,11,12,127,15.875
Breauna Ware,Wisconsin,188,9,62,19,16,2,9,7,126,14.0
Chazadi Wright,Iowa,138,6,63,11,24,0,8,12,126,21.0
Emma Shumate,Michigan State,147,8,59,22,8,3,6,18,125,15.625
Isaline Alexander,Michigan State,107,8,66,26,1,9,7,0,125,15.625
Hannah Stines,Washington,159,8,46,35,17,4,9,1,125,15.625
Layla Hays,Iowa,130,9,70,36,8,3,2,0,124,13.777777777777779
Xamiya Walton,Northwestern,219,9,73,13,13,1,3,16,123,13.666666666666666
Edessa Noyan,Indiana,173,10,49,49,4,4,5,3,123,12.3
Laci Steele,Wisconsin,170,9,51,29,7,2,13,5,122,13.555555555555555
Viktoria Ranisavljevic,Penn State,173,8,52,22,20,0,10,7,121,15.125
Jasmine Brown-Hagger,Illinois,210,9,57,18,13,1,14,3,121,13.444444444444445
T'yana Todd,Ohio State,149,8,66,17,8,1,8,10,119,14.875
Marah Dykstra,Michigan State,167,8,50,16,11,6,10,10,119,14.875
Kyndal Walker,Maryland,159,10,47,18,19,1,15,1,117,11.7
Addison Deal,Iowa,159,9,62,12,21,2,5,8,117,13.0
Dorja Zaja,Wisconsin,122,9,39,28,6,19,2,0,115,12.777777777777779
Eliza Maupin,Nebraska,123,7,58,25,11,5,5,1,115,16.428571428571427
Makena Christian,Minnesota,141,9,61,16,10,0,7,13,114,12.666666666666666
Logan Nissley,Nebraska,110,7,53,20,21,0,2,13,111,15.857142857142858
Marya Boiko,Maryland,142,11,47,29,11,3,7,0,107,9.727272727272727
Journey Houston,Iowa,114,9,37,43,11,1,6,0,105,11.666666666666666
Kendall Puryear,Purdue,145,9,60,28,5,2,4,0,105,11.666666666666666
Elsa Lemmilä,Ohio State,126,7,35,36,8,9,2,0,101,14.428571428571429
Mir McLean,Maryland,128,10,33,36,4,2,12,0,101,10.1
Janae Walker,Rutgers,183,10,42,40,6,4,2,0,100,10.0
Valentyna Kadlecova,Indiana,225,10,54,19,2,3,4,11,100,10.0
Yulia Grabovskaia,Washington,95,8,33,40,12,1,6,0,99,12.375
Lily Krahn,Wisconsin,119,9,60,6,3,1,6,16,99,11.0
Sienna Harvey,Washington,140,8,53,27,10,0,3,3,99,12.375
Lety Vasconcelos,Illinois,114,9,36,35,7,8,2,0,98,10.88888888888889
Alyssa Crockett,Michigan,112,9,43,19,7,2,8,7,96,10.666666666666666
Devin Coppinger,Washington,176,8,39,33,6,0,7,3,95,11.875
Breanna Williams,Maryland,90,8,51,29,4,1,4,1,95,11.875
Claire Johnson,Nebraska,129,9,54,15,11,1,3,6,94,10.444444444444445
Shay Bollin,Wisconsin,133,9,46,22,8,2,3,8,94,10.444444444444445
Malia Samuels,USC,167,7,27,19,13,2,13,4,93,13.285714285714286
Vivian Iwuchukwu,USC,108,8,48,20,8,1,7,0,92,11.5
Shaelyn Steele,Penn State,108,8,21,25,15,1,14,1,92,11.5
Aaliyah Guyton,Illinois,122,7,50,13,13,0,6,3,91,13.0
Taylor Feldman,Purdue,117,7,44,17,14,2,2,8,91,13.0
