name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,73,2,44,11,14,1,9,1,90,45.0
Shay Ciezki,Indiana,66,2,57,9,5,1,3,9,88,44.0
Gabriela Jaquez,UCLA,64,2,36,17,6,1,2,5,70,35.0
Gracie Merkle,Penn State,59,2,38,16,4,4,1,0,68,34.0
Zania Socka-Nguemen,Indiana,59,2,38,19,2,2,2,0,67,33.5
Hila Karsh,Purdue,73,2,36,12,6,1,1,5,63,31.5
Nene Ndiaye,Rutgers,63,2,33,13,3,1,4,2,61,30.5
Destiny Howell,Wisconsin,63,2,31,11,5,1,3,6,61,30.5
Britt Prince,Nebraska,46,2,42,5,3,0,3,4,60,30.0
Kaylah Ivey,Rutgers,70,2,32,6,10,0,3,5,59,29.5
Imani Lester,Rutgers,52,2,26,17,5,2,3,1,59,29.5
Gianna Kneepkens,UCLA,57,2,29,10,6,2,2,5,58,29.0
Kyrah Daniels,Wisconsin,56,2,28,10,3,2,4,4,57,28.5
Makena Christian,Minnesota,37,2,34,6,1,0,4,7,56,28.0
Kiki Rice,UCLA,56,2,30,12,8,1,1,2,56,28.0
Oluchi Okananwa,Maryland,41,2,33,8,6,0,2,5,56,28.0
Lauren Betts,UCLA,53,2,33,11,7,2,0,0,55,27.5
Jessica Petrie,Nebraska,52,2,31,12,2,1,3,2,55,27.5
Saylor Poffenbarger,Maryland,40,2,22,7,6,1,5,6,53,26.5
Zachara Perkins,Rutgers,60,2,21,14,2,2,5,2,53,26.5
Charlisse Leger-Walker,UCLA,55,2,20,5,12,1,5,3,52,26.0
Katie Fiso,Oregon,44,2,20,1,15,1,6,0,50,25.0
Tori McKinney,Minnesota,43,2,28,5,3,0,6,1,49,24.5
Grace Grocholski,Minnesota,47,2,17,12,10,1,2,3,48,24.0
Mila Holloway,Michigan,26,1,21,5,8,0,7,0,48,48.0
Mia Jacobs,Oregon,41,2,23,12,4,0,3,3,48,24.0
Madison Layden-Zay,Purdue,62,2,15,10,5,3,4,3,47,23.5
Callin Hake,Nebraska,43,2,18,3,10,0,7,2,47,23.5
Elisa Mevius,Oregon,44,2,25,2,5,2,5,1,47,23.5
Mara Braun,Minnesota,47,2,22,9,3,1,3,4,46,23.0
Sofia Bell,Oregon,41,2,18,4,4,2,5,4,44,22.0
Grace Sullivan,Northwestern,36,1,18,18,2,2,1,0,44,44.0
Kiki Smith,Purdue,57,2,30,4,1,1,1,5,44,22.0
Berry Wallace,Illinois,35,1,27,11,3,0,0,2,43,43.0
Amiah Hargrove,Nebraska,48,2,16,16,3,1,3,0,43,21.5
Gift Uchenna,Wisconsin,31,2,19,17,0,2,1,0,42,21.0
Tara Daye,Purdue,50,2,18,12,6,0,3,0,42,21.0
Laci Steele,Wisconsin,52,2,20,8,1,0,6,1,42,21.0
Moriah Murray,Penn State,55,2,20,5,3,1,3,5,41,20.5
Amaya Battle,Minnesota,46,2,9,16,11,1,1,1,41,20.5
Sayvia Sellers,Washington,17,1,21,3,6,1,4,1,41,41.0
Claire Johnson,Nebraska,40,2,21,6,4,1,3,2,41,20.5
Petra Bozan,Nebraska,40,2,24,9,0,1,2,2,41,20.5
Yarden Garzon,Maryland,54,2,15,6,10,0,3,3,40,20.0
Sophie Hart,Minnesota,35,2,29,8,1,0,1,0,40,20.0
Ehis Etute,Oregon,36,2,15,15,1,1,3,0,39,19.5
Kennedy Blair,Michigan State,20,1,14,5,12,1,3,0,39,39.0
Angela Dugalić,UCLA,41,2,7,12,1,4,5,1,39,19.5
Ava Heiden,Iowa,25,1,21,14,0,1,1,0,39,39.0
Lenée Beaumont,Indiana,62,2,14,12,8,0,2,0,38,19.0
Tayla Thomas,Northwestern,30,1,13,13,1,4,1,0,37,37.0
Kyndal Walker,Maryland,32,2,13,7,4,0,6,1,37,18.5
Grace VanSlooten,Michigan State,18,1,18,4,4,0,5,0,36,36.0
Amina Muhammad,Oregon,34,2,18,12,2,0,2,0,36,18.0
Astera Tuhina,Oregon,32,2,8,4,9,1,6,1,36,18.0
