name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,102,3,65,20,18,1,11,2,129,43.0
Lauren Betts,UCLA,119,4,62,31,16,8,1,0,127,31.75
Shay Ciezki,Indiana,106,3,70,19,8,2,6,9,122,40.666666666666664
Gabriela Jaquez,UCLA,129,4,61,33,9,1,4,9,122,30.5
Kiki Rice,UCLA,115,4,55,28,17,5,4,3,121,30.25
Nene Ndiaye,Rutgers,127,4,73,22,7,2,4,6,120,30.0
Sayvia Sellers,Washington,74,3,70,7,11,3,6,6,112,37.333333333333336
Saylor Poffenbarger,Maryland,98,4,36,25,14,3,11,9,112,28.0
Berry Wallace,Illinois,103,3,73,24,5,0,2,4,110,36.666666666666664
Mila Holloway,Michigan,84,3,50,15,16,0,11,2,105,35.0
Kaylah Ivey,Rutgers,149,4,54,11,14,1,7,10,105,26.25
Grace Sullivan,Northwestern,105,3,59,26,4,5,3,0,105,35.0
Grace Grocholski,Minnesota,95,4,46,23,14,2,4,9,104,26.0
Angela Dugalić,UCLA,106,4,35,33,5,4,8,6,103,25.75
Kyrah Daniels,Wisconsin,106,4,52,19,8,2,4,10,101,25.25
Oluchi Okananwa,Maryland,89,4,54,22,8,2,3,6,100,25.0
Gianna Kneepkens,UCLA,119,4,56,15,12,2,2,8,99,24.75
Tori McKinney,Minnesota,83,4,52,9,6,2,11,3,96,24.0
Gracie Merkle,Penn State,79,3,53,24,7,5,1,0,96,32.0
Destiny Howell,Wisconsin,113,4,53,18,7,1,4,8,96,24.0
Grace VanSlooten,Michigan State,71,3,50,16,7,0,11,0,95,31.666666666666668
Imani Lester,Rutgers,116,4,44,26,7,3,5,2,95,23.75
Gift Uchenna,Wisconsin,70,4,40,30,4,6,4,0,94,23.5
Amaya Battle,Minnesota,96,4,22,37,21,2,3,2,92,23.0
Tayla Thomas,Northwestern,87,3,38,35,3,5,2,2,92,30.666666666666668
Mara Braun,Minnesota,94,4,38,18,14,1,7,6,92,23.0
