name,team,minutes,games,points,rebounds,assists,blocks,steals,threes,fantasy_points,fpg
Kiyomi McMiller,Penn State,73,2,44,11,14,1,9,1,90,45.0
Shay Ciezki,Indiana,66,2,57,9,5,1,3,9,88,44.0
Nene Ndiaye,Rutgers,99,3,49,17,4,2,4,3,85,28.333333333333332
Grace Sullivan,Northwestern,70,2,43,24,4,4,2,0,83,41.5
Saylor Poffenbarger,Maryland,75,3,28,19,11,1,8,7,83,27.666666666666668
Kaylah Ivey,Rutgers,110,3,41,8,11,1,6,8,82,27.333333333333332
Oluchi Okananwa,Maryland,65,3,44,14,8,1,3,6,80,26.666666666666668
Imani Lester,Rutgers,84,3,37,20,7,3,4,2,80,26.666666666666668
Mila Holloway,Michigan,54,2,38,8,11,0,9,1,76,38.0
Jazzy Davidson,USC,65,2,35,9,8,6,4,3,75,37.5
Berry Wallace,Illinois,69,2,49,18,5,0,0,2,74,37.0
Gabriela Jaquez,UCLA,64,2,36,17,6,1,2,5,70,35.0
Grace VanSlooten,Michigan State,44,2,33,10,6,0,10,0,69,34.5
Gracie Merkle,Penn State,59,2,38,16,4,4,1,0,68,34.0
Zania Socka-Nguemen,Indiana,59,2,38,19,2,2,2,0,67,33.5
Ava Heiden,Iowa,46,2,35,24,1,1,2,0,66,33.0
Zachara Perkins,Rutgers,87,3,25,18,2,4,5,2,65,21.666666666666668
Gretchen Dolan,Illinois,67,2,34,7,12,1,4,1,64,32.0
Yarden Garzon,Maryland,78,3,24,14,12,0,5,4,64,21.333333333333332
Hila Karsh,Purdue,73,2,36,12,6,1,1,5,63,31.5
Destiny Howell,Wisconsin,63,2,31,11,5,1,3,6,61,30.5
Rashunda Jones,Michigan State,47,2,30,5,8,0,9,0,61,30.5
Tayla Thomas,Northwestern,56,2,22,24,2,4,2,1,61,30.5
Britt Prince,Nebraska,46,2,42,5,3,0,3,4,60,30.0
Hannah Stuelke,Iowa,48,2,33,15,3,1,2,2,59,29.5
Theryn Hallock,Michigan State,45,2,33,2,5,0,8,2,58,29.0
Gianna Kneepkens,UCLA,57,2,29,10,6,2,2,5,58,29.0
Olivia Olson,Michigan,40,2,36,6,2,1,4,4,58,29.0
Londynn Jones,USC,45,2,35,7,6,1,2,4,58,29.0
Kyrah Daniels,Wisconsin,56,2,28,10,3,2,4,4,57,28.5
Makena Christian,Minnesota,37,2,34,6,1,0,4,7,56,28.0
Kiki Rice,UCLA,56,2,30,12,8,1,1,2,56,28.0
Chazadi Wright,Iowa,55,2,25,5,17,0,2,4,55,27.5
Lea Bartelme,Maryland,70,3,25,10,11,0,3,3,55,18.333333333333332
Lauren Betts,UCLA,53,2,33,11,7,2,0,0,55,27.5
Jessica Petrie,Nebraska,52,2,31,12,2,1,3,2,55,27.5
Kennedy Blair,Michigan State,38,2,20,7,16,2,3,0,53,26.5
Jalyn Brown,Michigan State,43,2,28,10,5,1,3,1,52,26.0
Charlisse Leger-Walker,UCLA,55,2,20,5,12,1,5,3,52,26.0
Isimenme Ozzy-Momodu,Maryland,50,3,31,13,1,2,1,0,51,17.0
Katie Fiso,Oregon,44,2,20,1,15,1,6,0,50,25.0
Marya Boiko,Maryland,54,3,25,12,3,2,3,0,50,16.666666666666668
Tori McKinney,Minnesota,43,2,28,5,3,0,6,1,49,24.5
Grace Grocholski,Minnesota,47,2,17,12,10,1,2,3,48,24.0
Mia Jacobs,Oregon,41,2,23,12,4,0,3,3,48,24.0
Elisa Mevius,Oregon,44,2,25,2,5,2,5,1,47,23.5
Madison Layden-Zay,Purdue,62,2,15,10,5,3,4,3,47,23.5
Callin Hake,Nebraska,43,2,18,3,10,0,7,2,47,23.5
Brooke Q. Daniels,Michigan,42,2,11,8,11,0,8,0,46,23.0
Addi Mack,Maryland,54,3,31,5,3,1,2,1,46,15.333333333333334
Mara Braun,Minnesota,47,2,22,9,3,1,3,4,46,23.0
Syla Swords,Michigan,57,2,23,8,3,0,4,3,45,22.5
Kennedy Smith,USC,57,2,21,12,3,1,3,1,45,22.5
Sofia Bell,Oregon,41,2,18,4,4,2,5,4,44,22.0
